packet_id,source_id,route,hop_count,rl_route_found,packet_delivered,dropped_by_blackhole,malicious_node,observer_node,trust_before,trust_after,blacklisted,result
1,1,1->11->0,2,True,False,True,11,1,0.900000,0.900000,False,BLACKHOLE_DROP
2,1,1->11->0,2,True,False,True,11,1,0.800000,0.800000,False,BLACKHOLE_DROP
3,1,1->11->0,2,True,False,True,11,1,0.700000,0.700000,True,BLACKHOLE_DROP
4,1,1->9->25->48->42->37->2->31->49->32->0,10,True,True,False,,,,,False,DELIVERED
5,1,1->9->25->48->42->37->2->31->49->32->0,10,True,True,False,,,,,False,DELIVERED
6,2,2->31->49->32->0,4,True,True,False,,,,,False,DELIVERED
7,2,2->31->49->32->0,4,True,True,False,,,,,False,DELIVERED
8,2,2->31->49->32->0,4,True,True,False,,,,,False,DELIVERED
9,2,2->31->49->32->0,4,True,True,False,,,,,False,DELIVERED
10,2,2->31->49->32->0,4,True,True,False,,,,,False,DELIVERED
11,3,3->1->9->25->48->42->37->2->31->49->32->0,11,True,True,False,,,,,False,DELIVERED
12,3,3->1->9->25->48->42->37->2->31->49->32->0,11,True,True,False,,,,,False,DELIVERED
13,3,3->1->9->25->48->42->37->2->31->49->32->0,11,True,True,False,,,,,False,DELIVERED
14,3,3->1->9->25->48->42->37->2->31->49->32->0,11,True,True,False,,,,,False,DELIVERED
15,3,3->1->9->25->48->42->37->2->31->49->32->0,11,True,True,False,,,,,False,DELIVERED
16,4,4->3->1->9->25->48->42->37->2->31->49->32->0,12,True,True,False,,,,,False,DELIVERED
17,4,4->3->1->9->25->48->42->37->2->31->49->32->0,12,True,True,False,,,,,False,DELIVERED
18,4,4->3->1->9->25->48->42->37->2->31->49->32->0,12,True,True,False,,,,,False,DELIVERED
19,4,4->3->1->9->25->48->42->37->2->31->49->32->0,12,True,True,False,,,,,False,DELIVERED
20,4,4->3->1->9->25->48->42->37->2->31->49->32->0,12,True,True,False,,,,,False,DELIVERED
21,5,5->16->26->9->25->48->42->37->2->31->49->32->0,12,True,True,False,,,,,False,DELIVERED
22,5,5->16->26->9->25->48->42->37->2->31->49->32->0,12,True,True,False,,,,,False,DELIVERED
23,5,5->16->26->9->25->48->42->37->2->31->49->32->0,12,True,True,False,,,,,False,DELIVERED
24,5,5->16->26->9->25->48->42->37->2->31->49->32->0,12,True,True,False,,,,,False,DELIVERED
25,5,5->16->26->9->25->48->42->37->2->31->49->32->0,12,True,True,False,,,,,False,DELIVERED
26,6,6->14->36->15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,20,True,True,False,,,,,False,DELIVERED
27,6,6->14->36->15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,20,True,True,False,,,,,False,DELIVERED
28,6,6->14->36->15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,20,True,True,False,,,,,False,DELIVERED
29,6,6->14->36->15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,20,True,True,False,,,,,False,DELIVERED
30,6,6->14->36->15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,20,True,True,False,,,,,False,DELIVERED
31,7,7->6->14->36->15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,21,True,True,False,,,,,False,DELIVERED
32,7,7->6->14->36->15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,21,True,True,False,,,,,False,DELIVERED
33,7,7->6->14->36->15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,21,True,True,False,,,,,False,DELIVERED
34,7,7->6->14->36->15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,21,True,True,False,,,,,False,DELIVERED
35,7,7->6->14->36->15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,21,True,True,False,,,,,False,DELIVERED
36,8,8->7->6->14->36->15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,22,True,True,False,,,,,False,DELIVERED
37,8,8->7->6->14->36->15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,22,True,True,False,,,,,False,DELIVERED
38,8,8->7->6->14->36->15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,22,True,True,False,,,,,False,DELIVERED
39,8,8->7->6->14->36->15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,22,True,True,False,,,,,False,DELIVERED
40,8,8->7->6->14->36->15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,22,True,True,False,,,,,False,DELIVERED
41,9,9->25->48->42->37->2->31->49->32->0,9,True,True,False,,,,,False,DELIVERED
42,9,9->25->48->42->37->2->31->49->32->0,9,True,True,False,,,,,False,DELIVERED
43,9,9->25->48->42->37->2->31->49->32->0,9,True,True,False,,,,,False,DELIVERED
44,9,9->25->48->42->37->2->31->49->32->0,9,True,True,False,,,,,False,DELIVERED
45,9,9->25->48->42->37->2->31->49->32->0,9,True,True,False,,,,,False,DELIVERED
46,10,10->30->8->7->6->14->36->15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,24,True,True,False,,,,,False,DELIVERED
47,10,10->30->8->7->6->14->36->15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,24,True,True,False,,,,,False,DELIVERED
48,10,10->30->8->7->6->14->36->15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,24,True,True,False,,,,,False,DELIVERED
49,10,10->30->8->7->6->14->36->15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,24,True,True,False,,,,,False,DELIVERED
50,10,10->30->8->7->6->14->36->15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,24,True,True,False,,,,,False,DELIVERED
51,11,11->0,1,True,True,False,,,,,False,DELIVERED
52,11,11->0,1,True,True,False,,,,,False,DELIVERED
53,11,11->0,1,True,True,False,,,,,False,DELIVERED
54,11,11->0,1,True,True,False,,,,,False,DELIVERED
55,11,11->0,1,True,True,False,,,,,False,DELIVERED
56,12,12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,16,True,True,False,,,,,False,DELIVERED
57,12,12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,16,True,True,False,,,,,False,DELIVERED
58,12,12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,16,True,True,False,,,,,False,DELIVERED
59,12,12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,16,True,True,False,,,,,False,DELIVERED
60,12,12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,16,True,True,False,,,,,False,DELIVERED
61,13,13->27->22->49->32->0,5,True,True,False,,,,,False,DELIVERED
62,13,13->27->22->49->32->0,5,True,True,False,,,,,False,DELIVERED
63,13,13->27->22->49->32->0,5,True,True,False,,,,,False,DELIVERED
64,13,13->27->22->49->32->0,5,True,True,False,,,,,False,DELIVERED
65,13,13->27->22->49->32->0,5,True,True,False,,,,,False,DELIVERED
