source_id,target_id,distance_m
0,11,254.507
0,20,204.562
0,32,284.659
0,36,246.915
1,3,244.911
1,9,299.190
1,11,299.843
1,12,179.707
1,15,273.678
1,21,235.858
1,44,79.223
1,46,286.907
2,8,299.574
2,31,233.789
2,37,216.221
2,39,267.845
2,42,206.100
3,4,190.151
3,12,276.611
3,18,259.893
3,21,182.890
3,44,199.404
3,46,102.604
4,12,256.531
4,21,142.389
4,41,193.118
4,44,293.929
4,46,91.559
5,9,211.870
5,10,151.661
5,16,241.223
5,17,134.263
5,19,240.488
5,25,224.921
5,26,211.160
5,32,294.461
5,33,266.141
5,39,289.931
5,47,183.378
6,7,298.976
6,14,243.935
6,16,236.559
6,23,111.082
6,28,168.294
6,36,277.229
6,45,290.255
6,50,268.080
7,8,217.549
7,16,251.999
7,19,256.481
7,29,181.309
8,19,246.856
8,29,141.741
8,30,180.967
8,33,280.811
8,39,259.021
8,42,259.324
9,14,253.829
9,16,236.720
9,17,99.525
9,20,285.164
9,25,221.566
9,26,134.939
9,38,278.173
9,47,248.566
10,17,234.384
10,25,203.398
10,26,279.313
10,30,284.389
10,32,278.322
10,33,145.250
10,39,181.701
10,42,244.686
10,48,280.920
11,12,179.572
11,14,216.169
11,15,182.545
11,20,226.699
11,21,287.970
11,36,155.359
12,15,210.776
12,21,136.007
12,41,293.449
12,44,217.579
12,46,265.839
13,24,287.855
13,27,172.805
13,34,256.225
13,43,178.011
13,49,179.893
14,15,230.502
14,16,248.694
14,17,263.307
14,20,144.967
14,23,242.263
14,26,217.357
14,36,136.796
15,36,176.490
16,17,226.592
16,19,299.158
16,23,210.564
16,26,269.825
16,38,215.917
16,45,150.011
16,47,128.303
17,20,247.298
17,25,177.097
17,26,89.923
17,32,241.159
17,47,229.052
18,21,271.922
18,24,178.746
19,29,154.545
19,30,245.528
19,47,227.762
20,26,179.090
20,32,191.754
20,36,190.294
20,48,271.467
21,41,235.312
21,44,235.236
21,46,151.162
22,24,285.589
22,27,244.442
22,49,212.355
23,28,177.290
23,45,249.145
23,50,163.775
24,34,294.699
24,49,291.152
25,26,180.860
25,32,231.052
25,48,275.588
26,32,183.164
26,48,269.763
27,43,262.670
27,49,233.535
28,50,255.921
29,30,214.257
30,33,173.295
30,37,279.647
30,39,231.778
30,40,128.211
30,42,231.717
31,42,283.473
31,48,239.518
31,49,234.117
32,39,238.859
32,42,270.809
32,48,93.414
32,49,294.360
33,37,234.948
33,39,137.739
33,40,175.237
33,42,173.535
34,43,184.307
35,38,253.875
35,50,243.982
37,39,205.008
37,40,275.722
37,42,160.115
38,45,170.103
38,47,166.686
39,40,282.724
39,42,64.632
39,48,184.044
40,42,285.881
41,46,282.508
42,48,199.996
44,46,242.161
45,47,149.536
48,49,234.465
