node_id,neighbor_id,initial_trust
0,11,0.500
0,20,0.500
0,32,0.500
0,36,0.500
1,3,0.500
1,9,0.500
1,11,0.500
1,12,0.500
1,15,0.500
1,21,0.500
1,44,0.500
1,46,0.500
2,8,0.500
2,31,0.500
2,37,0.500
2,39,0.500
2,42,0.500
3,1,0.500
3,4,0.500
3,12,0.500
3,18,0.500
3,21,0.500
3,44,0.500
3,46,0.500
4,3,0.500
4,12,0.500
4,21,0.500
4,41,0.500
4,44,0.500
4,46,0.500
5,9,0.500
5,10,0.500
5,16,0.500
5,17,0.500
5,19,0.500
5,25,0.500
5,26,0.500
5,32,0.500
5,33,0.500
5,39,0.500
5,47,0.500
6,7,0.500
6,14,0.500
6,16,0.500
6,23,0.500
6,28,0.500
6,36,0.500
6,45,0.500
6,50,0.500
7,6,0.500
7,8,0.500
7,16,0.500
7,19,0.500
7,29,0.500
8,2,0.500
8,7,0.500
8,19,0.500
8,29,0.500
8,30,0.500
8,33,0.500
8,39,0.500
8,42,0.500
9,1,0.500
9,5,0.500
9,14,0.500
9,16,0.500
9,17,0.500
9,20,0.500
9,25,0.500
9,26,0.500
9,38,0.500
9,47,0.500
10,5,0.500
10,17,0.500
10,25,0.500
10,26,0.500
10,30,0.500
10,32,0.500
10,33,0.500
10,39,0.500
10,42,0.500
10,48,0.500
11,0,0.500
11,1,0.500
11,12,0.500
11,14,0.500
11,15,0.500
11,20,0.500
11,21,0.500
11,36,0.500
12,1,0.500
12,3,0.500
12,4,0.500
12,11,0.500
12,15,0.500
12,21,0.500
12,41,0.500
12,44,0.500
12,46,0.500
13,24,0.500
13,27,0.500
13,34,0.500
13,43,0.500
13,49,0.500
14,6,0.500
14,9,0.500
14,11,0.500
14,15,0.500
14,16,0.500
14,17,0.500
14,20,0.500
14,23,0.500
14,26,0.500
14,36,0.500
15,1,0.500
15,11,0.500
15,12,0.500
15,14,0.500
15,36,0.500
16,5,0.500
16,6,0.500
16,7,0.500
16,9,0.500
16,14,0.500
16,17,0.500
16,19,0.500
16,23,0.500
16,26,0.500
16,38,0.500
16,45,0.500
16,47,0.500
17,5,0.500
17,9,0.500
17,10,0.500
17,14,0.500
17,16,0.500
17,20,0.500
17,25,0.500
17,26,0.500
17,32,0.500
17,47,0.500
18,3,0.500
18,21,0.500
18,24,0.500
19,5,0.500
19,7,0.500
19,8,0.500
19,16,0.500
19,29,0.500
19,30,0.500
19,47,0.500
20,0,0.500
20,9,0.500
20,11,0.500
20,14,0.500
20,17,0.500
20,26,0.500
20,32,0.500
20,36,0.500
20,48,0.500
21,1,0.500
21,3,0.500
21,4,0.500
21,11,0.500
21,12,0.500
21,18,0.500
21,41,0.500
21,44,0.500
21,46,0.500
22,24,0.500
22,27,0.500
22,49,0.500
23,6,0.500
23,14,0.500
23,16,0.500
23,28,0.500
23,45,0.500
23,50,0.500
24,13,0.500
24,18,0.500
24,22,0.500
24,34,0.500
24,49,0.500
25,5,0.500
25,9,0.500
25,10,0.500
25,17,0.500
25,26,0.500
25,32,0.500
25,48,0.500
26,5,0.500
26,9,0.500
26,10,0.500
26,14,0.500
26,16,0.500
26,17,0.500
26,20,0.500
26,25,0.500
26,32,0.500
26,48,0.500
27,13,0.500
27,22,0.500
27,43,0.500
27,49,0.500
28,6,0.500
28,23,0.500
28,50,0.500
29,7,0.500
29,8,0.500
29,19,0.500
29,30,0.500
30,8,0.500
30,10,0.500
30,19,0.500
30,29,0.500
30,33,0.500
30,37,0.500
30,39,0.500
30,40,0.500
30,42,0.500
31,2,0.500
31,42,0.500
31,48,0.500
31,49,0.500
32,0,0.500
32,5,0.500
32,10,0.500
32,17,0.500
32,20,0.500
32,25,0.500
32,26,0.500
32,39,0.500
32,42,0.500
32,48,0.500
32,49,0.500
33,5,0.500
33,8,0.500
33,10,0.500
33,30,0.500
33,37,0.500
33,39,0.500
33,40,0.500
33,42,0.500
34,13,0.500
34,24,0.500
34,43,0.500
35,38,0.500
35,50,0.500
36,0,0.500
36,6,0.500
36,11,0.500
36,14,0.500
36,15,0.500
36,20,0.500
37,2,0.500
37,30,0.500
37,33,0.500
37,39,0.500
37,40,0.500
37,42,0.500
38,9,0.500
38,16,0.500
38,35,0.500
38,45,0.500
38,47,0.500
39,2,0.500
39,5,0.500
39,8,0.500
39,10,0.500
39,30,0.500
39,32,0.500
39,33,0.500
39,37,0.500
39,40,0.500
39,42,0.500
39,48,0.500
40,30,0.500
40,33,0.500
40,37,0.500
40,39,0.500
40,42,0.500
41,4,0.500
41,12,0.500
41,21,0.500
41,46,0.500
42,2,0.500
42,8,0.500
42,10,0.500
42,30,0.500
42,31,0.500
42,32,0.500
42,33,0.500
42,37,0.500
42,39,0.500
42,40,0.500
42,48,0.500
43,13,0.500
43,27,0.500
43,34,0.500
44,1,0.500
44,3,0.500
44,4,0.500
44,12,0.500
44,21,0.500
44,46,0.500
45,6,0.500
45,16,0.500
45,23,0.500
45,38,0.500
45,47,0.500
46,1,0.500
46,3,0.500
46,4,0.500
46,12,0.500
46,21,0.500
46,41,0.500
46,44,0.500
47,5,0.500
47,9,0.500
47,16,0.500
47,17,0.500
47,19,0.500
47,38,0.500
47,45,0.500
48,10,0.500
48,20,0.500
48,25,0.500
48,26,0.500
48,31,0.500
48,32,0.500
48,39,0.500
48,42,0.500
48,49,0.500
49,13,0.500
49,22,0.500
49,24,0.500
49,27,0.500
49,31,0.500
49,32,0.500
49,48,0.500
50,6,0.500
50,23,0.500
50,28,0.500
50,35,0.500
