node_id,node_type,x_m,y_m,z_m,initial_energy_j,residual_energy_j,distance_to_sink_m,neighbor_count
0,sink,500.000,500.000,0.000,INF,INF,0.000,4
1,sensor,548.158,131.891,370.196,50.000,50.000,524.279,8
2,sensor,302.250,938.325,136.723,50.000,50.000,499.927,5
3,sensor,761.985,165.642,484.739,50.000,50.000,644.518,7
4,sensor,873.608,107.520,342.192,50.000,50.000,640.874,6
5,sensor,218.049,511.600,432.640,50.000,50.000,516.534,11
6,sensor,154.916,217.104,82.993,50.000,50.000,453.873,8
7,sensor,63.505,498.886,123.366,50.000,50.000,453.595,5
8,sensor,128.838,698.145,181.289,50.000,50.000,458.136,8
9,sensor,339.088,337.751,428.730,50.000,50.000,485.826,10
10,sensor,271.915,648.057,471.100,50.000,50.000,543.947,10
11,sensor,571.140,282.911,112.183,50.000,50.000,254.507,8
12,sensor,652.792,175.617,230.788,50.000,50.000,426.419,9
13,sensor,815.181,782.520,174.765,50.000,50.000,457.929,5
14,sensor,366.348,289.018,181.120,50.000,50.000,308.513,10
15,sensor,496.952,116.444,101.796,50.000,50.000,396.846,5
16,sensor,146.905,329.965,290.739,50.000,50.000,487.973,12
17,sensor,319.269,430.385,398.212,50.000,50.000,442.812,10
18,sensor,781.582,422.304,448.895,50.000,50.000,535.567,3
19,sensor,0.754,582.270,357.656,50.000,50.000,619.623,7
20,sensor,405.470,427.832,166.438,50.000,50.000,204.562,9
21,sensor,766.173,192.769,303.921,50.000,50.000,507.550,9
22,sensor,715.441,828.828,467.601,50.000,50.000,610.895,3
23,sensor,164.531,155.153,174.693,50.000,50.000,511.837,6
24,sensor,826.737,580.881,379.871,50.000,50.000,507.543,5
25,sensor,434.764,527.767,490.630,50.000,50.000,495.726,7
26,sensor,391.749,429.532,344.994,50.000,50.000,368.382,10
27,sensor,863.880,903.377,288.270,50.000,50.000,614.997,4
28,sensor,41.386,94.581,62.450,50.000,50.000,615.297,3
29,sensor,2.902,642.814,215.479,50.000,50.000,560.298,4
30,sensor,91.010,807.547,320.391,50.000,50.000,603.745,9
31,sensor,510.140,840.515,93.457,50.000,50.000,353.253,4
32,sensor,450.462,584.629,267.235,50.000,50.000,284.659,11
33,sensor,216.770,777.720,435.829,50.000,50.000,589.317,8
34,sensor,994.999,603.531,138.993,50.000,50.000,524.464,3
35,sensor,242.702,31.941,493.135,50.000,50.000,726.955,2
36,sensor,425.577,272.075,58.980,50.000,50.000,246.915,6
37,sensor,314.250,973.391,349.745,50.000,50.000,617.190,6
38,sensor,86.109,230.711,472.599,50.000,50.000,683.500,5
39,sensor,318.335,768.527,343.244,50.000,50.000,472.150,11
40,sensor,69.867,872.984,428.598,50.000,50.000,712.621,5
41,sensor,928.110,105.921,156.931,50.000,50.000,602.664,4
42,sensor,321.834,820.032,304.355,50.000,50.000,476.231,11
43,sensor,967.422,776.846,82.686,50.000,50.000,549.512,3
44,sensor,590.788,86.891,419.531,50.000,50.000,595.741,6
45,sensor,11.006,278.194,327.547,50.000,50.000,628.967,5
46,sensor,830.297,122.577,421.442,50.000,50.000,655.101,7
47,sensor,95.991,379.285,397.684,50.000,50.000,579.610,7
48,sensor,455.201,677.663,260.278,50.000,50.000,318.301,9
49,sensor,660.389,790.971,266.030,50.000,50.000,425.630,7
50,sensor,189.018,14.960,255.740,50.000,50.000,630.378,4
