packet_id,source_id,destination_id,delivered,dropped,hop_count,route,result_reason
1,1,0,True,False,2,1 -> 11 -> 0,packet delivered successfully
2,2,0,True,False,4,2 -> 31 -> 48 -> 20 -> 0,packet delivered successfully
3,3,0,True,False,3,3 -> 12 -> 11 -> 0,packet delivered successfully
4,4,0,True,False,3,4 -> 12 -> 11 -> 0,packet delivered successfully
5,5,0,True,False,2,5 -> 32 -> 0,packet delivered successfully
6,6,0,True,False,2,6 -> 36 -> 0,packet delivered successfully
7,7,0,False,True,0,7,no neighbour closer to the sink
8,8,0,False,True,1,8 -> 7,no neighbour closer to the sink
9,9,0,True,False,2,9 -> 20 -> 0,packet delivered successfully
10,10,0,True,False,2,10 -> 32 -> 0,packet delivered successfully
11,11,0,True,False,1,11 -> 0,packet delivered successfully
12,12,0,True,False,2,12 -> 11 -> 0,packet delivered successfully
13,13,0,True,False,3,13 -> 49 -> 32 -> 0,packet delivered successfully
14,14,0,True,False,2,14 -> 20 -> 0,packet delivered successfully
15,15,0,True,False,2,15 -> 36 -> 0,packet delivered successfully
16,16,0,True,False,3,16 -> 14 -> 20 -> 0,packet delivered successfully
17,17,0,True,False,2,17 -> 20 -> 0,packet delivered successfully
18,18,0,True,False,4,18 -> 24 -> 49 -> 32 -> 0,packet delivered successfully
19,19,0,False,True,1,19 -> 7,no neighbour closer to the sink
20,20,0,True,False,1,20 -> 0,packet delivered successfully
21,21,0,True,False,2,21 -> 11 -> 0,packet delivered successfully
22,22,0,True,False,3,22 -> 49 -> 32 -> 0,packet delivered successfully
23,23,0,True,False,3,23 -> 14 -> 20 -> 0,packet delivered successfully
24,24,0,True,False,3,24 -> 49 -> 32 -> 0,packet delivered successfully
25,25,0,True,False,2,25 -> 32 -> 0,packet delivered successfully
26,26,0,True,False,2,26 -> 20 -> 0,packet delivered successfully
27,27,0,True,False,3,27 -> 49 -> 32 -> 0,packet delivered successfully
28,28,0,True,False,3,28 -> 6 -> 36 -> 0,packet delivered successfully
29,29,0,False,True,1,29 -> 7,no neighbour closer to the sink
30,30,0,False,True,2,30 -> 8 -> 7,no neighbour closer to the sink
31,31,0,True,False,3,31 -> 48 -> 20 -> 0,packet delivered successfully
32,32,0,True,False,1,32 -> 0,packet delivered successfully
33,33,0,False,True,2,33 -> 8 -> 7,no neighbour closer to the sink
34,34,0,True,False,4,34 -> 13 -> 49 -> 32 -> 0,packet delivered successfully
35,35,0,True,False,4,35 -> 50 -> 6 -> 36 -> 0,packet delivered successfully
36,36,0,True,False,1,36 -> 0,packet delivered successfully
37,37,0,True,False,3,37 -> 39 -> 32 -> 0,packet delivered successfully
38,38,0,True,False,3,38 -> 9 -> 20 -> 0,packet delivered successfully
39,39,0,True,False,2,39 -> 32 -> 0,packet delivered successfully
40,40,0,True,False,3,40 -> 39 -> 32 -> 0,packet delivered successfully
41,41,0,True,False,3,41 -> 12 -> 11 -> 0,packet delivered successfully
42,42,0,True,False,2,42 -> 32 -> 0,packet delivered successfully
43,43,0,True,False,4,43 -> 13 -> 49 -> 32 -> 0,packet delivered successfully
44,44,0,True,False,3,44 -> 12 -> 11 -> 0,packet delivered successfully
45,45,0,True,False,3,45 -> 6 -> 36 -> 0,packet delivered successfully
46,46,0,True,False,3,46 -> 12 -> 11 -> 0,packet delivered successfully
47,47,0,True,False,3,47 -> 17 -> 20 -> 0,packet delivered successfully
48,48,0,True,False,2,48 -> 20 -> 0,packet delivered successfully
49,49,0,True,False,2,49 -> 32 -> 0,packet delivered successfully
50,50,0,True,False,3,50 -> 6 -> 36 -> 0,packet delivered successfully
