packet_id,source_id,route,hop_count,rl_route_found,packet_delivered,dropped_by_modification,malicious_node,observer_node,trust_before,trust_after,blacklisted,result
1,1,1->11->0,2,True,True,False,,,,,False,DELIVERED
2,2,2->31->49->32->0,4,True,True,False,,,,,False,DELIVERED
3,3,3->1->11->0,3,True,True,False,,,,,False,DELIVERED
4,4,4->3->1->11->0,4,True,False,True,11,1,0.400000,0.400000,True,MODIFICATION_DETECTED
5,5,5->16->26->9->25->48->42->37->2->31->49->32->0,12,True,True,False,,,,,False,DELIVERED
6,6,6->14->36->15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,20,True,True,False,,,,,False,DELIVERED
7,7,7->6->14->36->15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,21,True,True,False,,,,,False,DELIVERED
8,8,8->7->6->14->36->15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,22,True,True,False,,,,,False,DELIVERED
9,9,9->25->48->42->37->2->31->49->32->0,9,True,True,False,,,,,False,DELIVERED
10,10,10->30->8->7->6->14->36->15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,24,True,True,False,,,,,False,DELIVERED
11,11,11->0,1,True,True,False,,,,,False,DELIVERED
12,12,12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,16,True,True,False,,,,,False,DELIVERED
13,13,13->27->22->49->32->0,5,True,True,False,,,,,False,DELIVERED
14,14,14->36->15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,19,True,True,False,,,,,False,DELIVERED
15,15,15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,17,True,True,False,,,,,False,DELIVERED
16,16,16->26->9->25->48->42->37->2->31->49->32->0,11,True,True,False,,,,,False,DELIVERED
17,17,17->47->19->5->16->26->9->25->48->42->37->2->31->49->32->0,15,True,True,False,,,,,False,DELIVERED
18,18,18->24->13->27->22->49->32->0,7,True,True,False,,,,,False,DELIVERED
19,19,19->5->16->26->9->25->48->42->37->2->31->49->32->0,13,True,True,False,,,,,False,DELIVERED
20,20,20->0,1,True,True,False,,,,,False,DELIVERED
21,21,21->4->3->1->9->25->48->42->37->2->31->49->32->0,13,True,True,False,,,,,False,DELIVERED
22,22,22->49->32->0,3,True,True,False,,,,,False,DELIVERED
23,23,23->6->14->36->15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,21,True,True,False,,,,,False,DELIVERED
24,24,24->13->27->22->49->32->0,6,True,True,False,,,,,False,DELIVERED
25,25,25->48->42->37->2->31->49->32->0,8,True,True,False,,,,,False,DELIVERED
26,26,26->9->25->48->42->37->2->31->49->32->0,10,True,True,False,,,,,False,DELIVERED
27,27,27->22->49->32->0,4,True,True,False,,,,,False,DELIVERED
28,28,28->23->6->14->36->15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,22,True,True,False,,,,,False,DELIVERED
29,29,29->19->5->16->26->9->25->48->42->37->2->31->49->32->0,14,True,True,False,,,,,False,DELIVERED
30,30,30->8->7->6->14->36->15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,23,True,True,False,,,,,False,DELIVERED
31,31,31->49->32->0,3,True,True,False,,,,,False,DELIVERED
32,32,32->0,1,True,True,False,,,,,False,DELIVERED
33,33,33->30->8->7->6->14->36->15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,24,True,True,False,,,,,False,DELIVERED
34,34,34->43->27->22->49->32->0,6,True,True,False,,,,,False,DELIVERED
35,35,35->50->28->23->6->14->36->15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,24,True,True,False,,,,,False,DELIVERED
36,36,36->15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,18,True,True,False,,,,,False,DELIVERED
37,37,37->2->31->49->32->0,5,True,True,False,,,,,False,DELIVERED
38,38,38->9->25->48->42->37->2->31->49->32->0,10,True,True,False,,,,,False,DELIVERED
39,39,39->40->33->30->8->7->6->14->36->15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,26,True,True,False,,,,,False,DELIVERED
40,40,40->33->30->8->7->6->14->36->15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,25,True,True,False,,,,,False,DELIVERED
41,41,41->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,17,True,True,False,,,,,False,DELIVERED
42,42,42->37->2->31->49->32->0,6,True,True,False,,,,,False,DELIVERED
43,43,43->27->22->49->32->0,5,True,True,False,,,,,False,DELIVERED
44,44,44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,14,True,True,False,,,,,False,DELIVERED
45,45,45->23->6->14->36->15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,22,True,True,False,,,,,False,DELIVERED
46,46,46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,15,True,True,False,,,,,False,DELIVERED
47,47,47->19->5->16->26->9->25->48->42->37->2->31->49->32->0,14,True,True,False,,,,,False,DELIVERED
48,48,48->42->37->2->31->49->32->0,7,True,True,False,,,,,False,DELIVERED
49,49,49->32->0,2,True,True,False,,,,,False,DELIVERED
50,50,50->28->23->6->14->36->15->12->46->44->21->4->3->1->9->25->48->42->37->2->31->49->32->0,23,True,True,False,,,,,False,DELIVERED
