episode,source_id,delivered,hops,total_reward,epsilon
1,41,False,30,-1.849044,0.100000
2,39,False,30,-1.616186,0.099500
3,17,False,30,-1.569812,0.099003
4,43,True,8,0.890796,0.098507
5,4,False,10,-1.490222,0.098015
6,31,True,9,0.781390,0.097525
7,38,True,10,0.843904,0.097037
8,40,True,14,0.534724,0.096552
9,40,True,5,1.128935,0.096069
10,48,True,3,1.109004,0.095589
11,44,True,9,1.001585,0.095111
12,36,True,1,1.028687,0.094635
13,45,True,5,1.153215,0.094162
14,23,True,3,1.084862,0.093691
15,40,True,5,1.128935,0.093223
16,43,False,13,-1.680099,0.092757
17,12,True,3,1.071419,0.092293
18,28,True,5,1.128399,0.091832
19,24,True,8,0.970851,0.091372
20,40,True,5,1.128935,0.090916
21,44,True,8,0.991254,0.090461
22,2,True,5,1.037001,0.090009
23,10,True,3,1.063850,0.089559
24,12,False,7,-1.202474,0.089111
25,36,True,1,1.028687,0.088665
26,48,True,3,1.109004,0.088222
27,50,True,4,1.127226,0.087781
28,21,True,5,1.008067,0.087342
29,35,True,5,1.106081,0.086905
30,20,True,1,1.045076,0.086471
31,35,True,5,1.106081,0.086038
32,9,True,19,0.708116,0.085608
33,30,True,5,1.014393,0.085180
34,38,True,6,1.028791,0.084754
35,37,True,7,1.037050,0.084331
36,46,True,6,1.225643,0.083909
37,18,True,7,1.029756,0.083489
38,36,True,5,0.970588,0.083072
39,2,True,5,1.073814,0.082657
40,23,True,3,1.084862,0.082243
41,21,True,4,1.117678,0.081832
42,19,True,8,0.986929,0.081423
43,31,True,4,1.069905,0.081016
44,26,True,3,1.073613,0.080611
45,8,True,7,1.024183,0.080208
46,49,True,4,1.098777,0.079807
47,1,True,4,1.096368,0.079408
48,5,True,4,1.094506,0.079010
49,10,True,4,1.075822,0.078615
50,18,True,6,1.036060,0.078222
51,37,True,8,0.922122,0.077831
52,11,True,2,1.020729,0.077442
53,49,True,4,1.098777,0.077055
54,43,True,6,1.124780,0.076670
55,45,True,5,1.153215,0.076286
56,30,True,8,1.103989,0.075905
57,50,True,4,1.127226,0.075525
58,10,True,3,1.063850,0.075148
59,13,True,14,1.008898,0.074772
60,22,True,5,1.131678,0.074398
61,40,True,7,1.033773,0.074026
62,19,True,7,1.043327,0.073656
63,15,True,3,1.053862,0.073288
64,19,True,6,1.051496,0.072921
65,25,True,3,1.084093,0.072557
66,2,True,5,1.073814,0.072194
67,39,True,4,1.100679,0.071833
68,20,True,1,1.045076,0.071474
69,38,True,4,1.105579,0.071116
70,35,True,5,1.106081,0.070761
71,48,True,3,1.109004,0.070407
72,44,True,8,0.962899,0.070055
73,40,True,5,1.128935,0.069705
74,20,True,1,1.045076,0.069356
75,7,True,10,0.985438,0.069009
76,7,True,5,0.885538,0.068664
77,6,True,9,0.870180,0.068321
78,9,True,3,1.123711,0.067979
79,16,True,3,1.071668,0.067639
80,34,True,7,1.104114,0.067301
81,4,True,5,1.178257,0.066965
82,5,True,4,1.094506,0.066630
83,42,True,3,1.046514,0.066297
84,26,True,3,1.073613,0.065965
85,10,True,3,1.063850,0.065635
86,48,True,3,1.109004,0.065307
87,23,True,3,1.084862,0.064981
88,23,True,3,1.084862,0.064656
89,23,True,3,1.084862,0.064333
90,36,True,1,1.028687,0.064011
91,39,True,9,0.985617,0.063691
92,22,True,5,1.131678,0.063372
93,29,True,6,1.015731,0.063056
94,3,True,9,0.979859,0.062740
95,5,True,4,1.094506,0.062427
96,46,True,6,1.225643,0.062114
97,16,True,3,1.071668,0.061804
98,15,True,3,1.053862,0.061495
99,50,True,4,1.127226,0.061187
100,12,True,3,1.071419,0.060881
101,41,True,6,1.147114,0.060577
102,4,True,5,1.178257,0.060274
103,21,True,4,1.117678,0.059973
104,33,True,4,1.092254,0.059673
105,25,True,3,1.084093,0.059375
106,5,True,4,1.094506,0.059078
107,42,True,3,1.046514,0.058782
