current_node_id,energy_bin,link_quality_bin,trust_bin,distance_bin,action_neighbor_id,q_value
1,4,0,2,1,11,-0.00064137
1,4,0,2,2,9,0.36390562
1,4,0,2,2,15,0.08412421
1,4,0,2,3,3,0.05255964
1,4,0,2,3,46,0.00000000
1,4,1,2,2,21,0.00000000
1,4,2,2,2,12,0.81270520
1,4,3,2,3,44,0.00000000
2,4,0,2,2,8,0.07793885
2,4,0,2,2,39,-0.01117249
2,4,1,2,2,31,0.70528778
2,4,1,2,2,42,0.00000000
2,4,1,2,3,37,-0.00746599
3,4,0,2,2,12,0.00232379
3,4,0,2,3,1,-0.00136574
3,4,0,2,3,18,0.00000000
3,4,1,2,2,21,0.78660938
3,4,1,2,3,4,0.00000000
3,4,1,2,3,44,0.13554001
3,4,3,2,3,46,0.00000000
4,4,0,2,2,12,0.15156962
4,4,0,2,3,44,0.04672853
4,4,1,2,3,3,-0.00171620
4,4,1,2,3,41,0.00473414
4,4,2,2,2,21,0.81107320
4,4,3,2,3,46,0.00713050
5,4,0,2,1,32,0.00000000
5,4,0,2,2,16,-0.00426047
5,4,0,2,2,39,0.00000000
5,4,0,2,3,19,-0.00876517
5,4,0,2,3,33,-0.00971463
5,4,1,2,2,9,0.01259156
5,4,1,2,2,25,0.00000000
5,4,1,2,2,26,0.78456421
5,4,1,2,3,47,-0.00332223
5,4,2,2,2,17,0.00000000
5,4,2,2,3,10,0.12471419
6,4,0,2,1,14,-0.00042092
6,4,0,2,1,36,0.00000000
6,4,0,2,2,7,0.18606951
6,4,0,2,3,45,-0.01472601
6,4,0,2,3,50,-0.01346322
6,4,1,2,2,16,-0.00607885
6,4,2,2,3,28,0.03543381
6,4,3,2,2,23,0.73226195
7,4,0,2,2,6,-0.00992198
7,4,0,2,2,16,0.71237991
7,4,0,2,3,19,0.07070304
7,4,1,2,2,8,-0.00365660
7,4,1,2,3,29,-0.00469675
8,4,0,2,2,2,0.08623659
8,4,0,2,2,39,0.66279621
8,4,0,2,2,42,-0.00792140
8,4,0,2,3,19,-0.01127425
8,4,0,2,3,33,-0.01293017
8,4,1,2,2,7,-0.00447458
8,4,1,2,3,30,-0.01012575
8,4,2,2,3,29,-0.00558555
9,4,0,2,1,14,0.08675863
9,4,0,2,1,20,0.00000000
9,4,0,2,3,1,0.00000000
9,4,0,2,3,38,0.00000000
9,4,0,2,3,47,-0.00906059
9,4,1,2,2,5,-0.00415705
9,4,1,2,2,16,0.00000000
9,4,1,2,2,25,0.00000000
9,4,2,2,2,26,0.00000000
9,4,3,2,2,17,0.92123953
10,4,0,2,1,32,0.86420954
10,4,0,2,1,48,0.00000000
10,4,0,2,2,26,0.00000000
10,4,0,2,2,42,0.00000000
10,4,0,2,3,30,0.00000000
10,4,1,2,2,17,0.00000000
10,4,1,2,2,25,-0.00157145
10,4,1,2,2,39,0.07493240
10,4,2,2,2,5,0.39854445
10,4,2,2,3,33,-0.00030298
11,4,0,2,0,0,0.62815946
11,4,0,2,2,21,0.00000000
11,4,0,2,3,1,-0.04241300
11,4,1,2,1,14,-0.00460357
11,4,1,2,1,20,0.91622177
11,4,1,2,2,15,0.15999528
11,4,2,2,1,36,0.00000000
11,4,2,2,2,12,-0.00268947
12,4,0,2,3,3,0.01264354
12,4,0,2,3,4,0.10066425
12,4,0,2,3,41,0.03184929
12,4,0,2,3,46,0.04075356
12,4,1,2,2,15,0.07491274
12,4,1,2,3,44,-0.01713686
12,4,2,2,1,11,0.87528971
12,4,2,2,2,21,-0.00099507
12,4,2,2,3,1,0.00000000
13,4,0,2,2,24,0.06951993
13,4,0,2,3,34,-0.00486708
13,4,2,2,2,49,0.72949646
13,4,2,2,3,27,-0.01118483
13,4,2,2,3,43,-0.01596619
14,4,0,2,2,6,0.04879060
14,4,0,2,2,9,0.06555960
14,4,0,2,2,16,0.00000000
14,4,0,2,2,17,0.14273548
14,4,0,2,2,23,0.00000000
14,4,1,2,1,11,0.08093067
14,4,1,2,2,15,0.00412709
14,4,1,2,2,26,0.07309437
14,4,2,2,1,20,0.17965625
14,4,2,2,1,36,0.96484943
15,4,0,2,3,1,-0.01095770
15,4,1,2,1,11,0.00000000
15,4,1,2,1,14,0.85449493
15,4,1,2,2,12,-0.00404006
15,4,2,2,1,36,0.26311641
16,4,0,2,1,14,0.87231408
16,4,0,2,2,5,-0.00605123
16,4,0,2,2,7,-0.00644410
16,4,0,2,2,26,-0.00334669
16,4,0,2,3,19,-0.00720096
16,4,1,2,2,6,0.17754537
16,4,1,2,2,9,0.08987886
16,4,1,2,2,17,0.00000000
16,4,1,2,2,23,0.07586850
16,4,1,2,3,38,-0.01015531
16,4,2,2,3,45,0.00963233
16,4,2,2,3,47,0.00000000
17,4,0,2,1,14,0.64028944
17,4,0,2,1,20,0.96595921
17,4,0,2,1,32,0.00000000
17,4,1,2,2,16,0.00000000
17,4,1,2,3,10,-0.00810104
17,4,1,2,3,47,0.05231758
17,4,2,2,2,5,0.00000000
17,4,2,2,2,25,0.02244675
17,4,3,2,2,9,0.00000000
17,4,3,2,2,26,0.00000000
18,4,0,2,2,21,0.68372492
18,4,0,2,3,3,0.15499405
18,4,2,2,2,24,-0.00069147
19,4,0,2,2,5,-0.00162297
19,4,0,2,2,7,0.06836201
19,4,0,2,2,8,-0.00008606
19,4,0,2,2,16,0.06831017
19,4,0,2,3,30,-0.00502823
19,4,1,2,3,47,-0.00191668
19,4,2,2,3,29,0.59925576
20,4,0,2,1,48,0.12404193
20,4,0,2,2,9,0.10528906
20,4,0,2,2,17,0.11787747
20,4,1,2,0,0,1.04507597
20,4,1,2,1,11,0.10092465
20,4,1,2,1,32,0.00753737
20,4,1,2,1,36,0.24258590
20,4,2,2,1,14,0.22898357
20,4,2,2,2,26,0.05976060
21,4,0,2,1,11,0.22272605
21,4,0,2,3,18,-0.01641415
21,4,1,2,3,1,0.08364028
21,4,1,2,3,3,-0.00480934
21,4,1,2,3,41,0.03906650
21,4,1,2,3,44,-0.00820530
21,4,2,2,2,12,0.83401926
21,4,2,2,3,4,-0.00317906
21,4,2,2,3,46,-0.00334048
22,4,0,2,2,24,0.04494573
22,4,0,2,3,27,0.05320417
22,4,1,2,2,49,0.76009448
23,4,0,2,1,14,0.88550843
23,4,0,2,3,45,-0.00991406
23,4,1,2,2,16,-0.00095491
23,4,2,2,3,28,-0.01017799
23,4,2,2,3,50,-0.01055539
23,4,3,2,2,6,0.01841337
24,4,0,2,2,13,-0.01119301
24,4,0,2,2,49,-0.00954693
24,4,0,2,3,22,-0.01236229
24,4,0,2,3,34,-0.01013407
24,4,2,2,3,18,0.59667385
25,4,0,2,1,48,0.08003165
25,4,1,2,1,32,0.88444876
25,4,1,2,2,5,-0.00475522
25,4,1,2,2,9,-0.00344678
25,4,1,2,2,26,0.00000000
25,4,1,2,3,10,-0.00416796
25,4,2,2,2,17,0.41998392
26,4,0,2,1,48,-0.00574959
26,4,0,2,2,16,0.18123409
26,4,0,2,3,10,0.05052063
26,4,1,2,1,14,-0.00106032
26,4,1,2,1,32,0.83405876
26,4,1,2,2,5,-0.01083208
26,4,1,2,2,25,-0.00538218
26,4,2,2,1,20,0.80539317
26,4,2,2,2,9,-0.00219075
26,4,3,2,2,17,0.00000000
27,4,0,2,3,22,-0.00535299
27,4,0,2,3,43,-0.00464799
27,4,1,2,2,49,0.07462674
27,4,2,2,2,13,0.70582654
28,4,0,2,3,50,0.05611003
28,4,2,2,2,6,0.08556855
28,4,2,2,2,23,0.82541245
29,4,1,2,2,7,0.20935289
29,4,1,2,3,30,-0.00465424
29,4,2,2,2,8,0.63777906
29,4,2,2,3,19,-0.00135063
30,4,0,2,3,10,0.00000000
30,4,0,2,3,19,0.00000000
30,4,0,2,3,37,-0.00864314
30,4,1,2,2,8,0.63332832
30,4,1,2,2,39,0.00000000
30,4,1,2,2,42,0.00000000
30,4,1,2,3,29,0.00000000
30,4,2,2,3,33,0.16984186
30,4,2,2,4,40,-0.00117594
31,4,0,2,2,42,0.29000376
31,4,1,2,1,48,0.77932771
31,4,1,2,2,2,-0.01856493
31,4,1,2,2,49,-0.01951033
32,4,0,2,0,0,0.19219681
32,4,0,2,2,5,0.03512354
32,4,0,2,2,17,0.22512204
32,4,0,2,2,42,-0.05170294
32,4,0,2,2,49,0.14625184
32,4,0,2,3,10,-0.00923337
32,4,1,2,1,20,0.95133286
32,4,1,2,2,25,0.03336762
32,4,1,2,2,26,0.14517106
32,4,1,2,2,39,0.09843819
32,4,3,2,1,48,0.00000000
33,4,0,2,2,5,-0.00448406
33,4,0,2,2,8,0.00000000
33,4,1,2,3,37,0.04658026
33,4,2,2,2,39,0.07920238
33,4,2,2,2,42,0.00342452
33,4,2,2,3,10,0.80258495
33,4,2,2,3,30,-0.00185669
33,4,2,2,4,40,-0.00487458
34,4,0,2,2,13,0.61534318
34,4,0,2,2,24,0.15971115
34,4,1,2,3,43,0.11185325
35,4,0,2,3,38,-0.00960046
35,4,0,2,3,50,0.73414987
36,4,0,2,0,0,1.02868681
36,4,0,2,2,6,0.12782860
36,4,1,2,1,20,0.32526962
36,4,2,2,1,11,0.15741757
36,4,2,2,1,14,0.00000000
36,4,2,2,2,15,-0.01116890
37,4,0,2,3,30,0.00496474
37,4,0,2,4,40,0.00000000
37,4,1,2,2,2,0.64101393
37,4,1,2,2,39,0.07588524
37,4,1,2,3,33,-0.00353718
37,4,2,2,2,42,0.00000000
38,4,0,2,2,9,0.00000000
38,4,0,2,4,35,-0.00797148
38,4,1,2,2,16,0.81897465
38,4,2,2,3,45,0.00000000
38,4,2,2,3,47,0.03641396
39,4,0,2,2,2,0.00000000
39,4,0,2,2,5,0.00000000
39,4,0,2,2,8,-0.00649445
39,4,0,2,4,40,-0.01687424
39,4,1,2,1,32,0.29934299
39,4,1,2,1,48,0.00464313
39,4,1,2,3,10,0.00000000
39,4,1,2,3,30,0.00000000
39,4,1,2,3,37,0.00000000
39,4,2,2,3,33,0.14504732
39,4,3,2,2,42,0.81635076
40,4,0,2,2,39,-0.00021393
40,4,0,2,2,42,-0.00061759
40,4,0,2,3,37,-0.00444974
40,4,2,2,3,30,0.00000000
40,4,2,2,3,33,0.75407056
41,4,0,2,2,12,0.13884204
41,4,0,2,3,46,-0.01034266
41,4,1,2,2,21,-0.00150922
41,4,1,2,3,4,0.69215988
42,4,0,2,1,32,0.84687277
42,4,0,2,2,8,-0.00602455
42,4,0,2,2,31,0.06697661
42,4,0,2,3,10,0.03113281
42,4,0,2,4,40,0.03667697
42,4,1,2,1,48,0.03073793
42,4,1,2,2,2,0.00000000
42,4,1,2,3,30,0.08754928
42,4,2,2,3,33,-0.00262584
42,4,2,2,3,37,0.04907669
42,4,3,2,2,39,0.00000000
43,4,0,2,3,27,-0.00918489
43,4,1,2,3,34,0.01192881
43,4,2,2,2,13,0.68028724
44,4,0,2,3,4,-0.01104615
44,4,0,2,3,46,-0.01087318
44,4,1,2,2,12,0.81139116
44,4,1,2,2,21,0.00000000
44,4,1,2,3,3,-0.00391049
44,4,3,2,3,1,0.06274160
45,4,0,2,2,6,-0.00310724
45,4,0,2,2,23,0.00000000
45,4,2,2,2,16,0.00000000
45,4,2,2,3,38,-0.00216115
45,4,2,2,3,47,0.78264715
46,4,0,2,2,12,0.00000000
46,4,0,2,3,1,-0.00069959
46,4,0,2,3,41,0.00000000
46,4,0,2,3,44,-0.00326485
46,4,2,2,2,21,0.00000000
46,4,3,2,3,3,0.07458711
46,4,3,2,3,4,0.75161474
47,4,0,2,2,9,0.26408514
47,4,1,2,2,5,0.00000000
47,4,1,2,2,17,0.06627349
47,4,1,2,3,19,-0.00562911
47,4,2,2,2,16,0.83942888
47,4,2,2,3,38,0.00000000
47,4,2,2,3,45,-0.00069947
48,4,0,2,1,20,0.51470488
48,4,0,2,2,25,-0.01410336
48,4,0,2,2,26,0.00000000
48,4,0,2,3,10,0.10542067
48,4,1,2,2,31,-0.00418435
48,4,1,2,2,39,0.12719267
48,4,1,2,2,42,0.21392489
48,4,1,2,2,49,-0.00845858
48,4,3,2,1,32,0.90936276
49,4,0,2,1,32,0.00000000
49,4,0,2,2,24,0.06790131
49,4,1,2,1,48,0.80819996
49,4,1,2,2,31,-0.00220741
49,4,1,2,3,22,-0.01847952
49,4,1,2,3,27,-0.01123102
49,4,2,2,2,13,-0.00384966
50,4,0,2,2,6,0.07183666
50,4,0,2,3,28,0.05412632
50,4,0,2,4,35,-0.02485279
50,4,2,2,2,23,0.83932137
