current_node_id,candidate_node_id,link_distance_m,residual_energy,link_quality,trust_value,normalized_distance_to_sink,energy_bin,link_quality_bin,trust_bin,distance_bin,state_tuple,distance_progress,estimated_energy_cost,estimated_delay,estimated_packet_loss_rate,preview_reward
1,3,244.910720,1.000000,0.183631,0.500000,0.744226,4,0,2,3,"(4, 0, 2, 3)",-0.138841,0.833229,0.868835,0.816369,-0.096962
1,9,299.190221,1.000000,0.002699,0.500000,0.560984,4,0,2,2,"(4, 0, 2, 2)",0.044401,0.997304,0.998072,0.997301,-0.085986
1,11,299.843058,1.000000,0.000523,0.500000,0.293879,4,0,2,1,"(4, 0, 2, 1)",0.311506,0.999477,0.999626,0.999477,-0.006414
1,12,179.707499,1.000000,0.400975,0.500000,0.492386,4,2,2,2,"(4, 2, 2, 2)",0.112999,0.679415,0.713589,0.599025,0.024949
1,15,273.677742,1.000000,0.087741,0.500000,0.458238,4,0,2,2,"(4, 0, 2, 2)",0.147147,0.916108,0.937328,0.912259,-0.033871
1,21,235.858415,1.000000,0.213805,0.500000,0.586068,4,1,2,2,"(4, 1, 2, 2)",0.019317,0.809051,0.847282,0.786195,-0.042655
1,44,79.223141,1.000000,0.735923,0.500000,0.687903,4,3,2,3,"(4, 3, 2, 3)",-0.082518,0.534868,0.474341,0.264077,0.023863
1,46,286.906781,1.000000,0.043644,0.500000,0.756445,4,0,2,3,"(4, 0, 2, 3)",-0.151061,0.957308,0.968826,0.956356,-0.134238
2,8,299.573566,1.000000,0.001421,0.500000,0.529009,4,0,2,2,"(4, 0, 2, 2)",0.048257,0.998580,0.998985,0.998579,-0.085158
2,31,233.788612,1.000000,0.220705,0.500000,0.407901,4,1,2,2,"(4, 1, 2, 2)",0.169365,0.803651,0.842354,0.779295,0.003909
2,37,216.221388,1.000000,0.279262,0.500000,0.712670,4,1,2,3,"(4, 1, 2, 3)",-0.135403,0.759732,0.800527,0.720738,-0.074660
2,39,267.844534,1.000000,0.107185,0.500000,0.545192,4,0,2,2,"(4, 0, 2, 2)",0.032075,0.898559,0.923439,0.892815,-0.063677
2,42,206.099793,1.000000,0.313001,0.500000,0.549904,4,1,2,2,"(4, 1, 2, 2)",0.027363,0.735984,0.776428,0.686999,-0.018653
3,1,244.910720,1.000000,0.183631,0.500000,0.605385,4,0,2,3,"(4, 0, 2, 3)",0.138841,0.833229,0.868835,0.816369,-0.013657
