packet_id,source_id,route,hop_count,rl_delivered,secure_delivered,encrypted,hmac_verified,decrypted,payload_recovered,original_size_bytes,secured_size_bytes,overhead_bytes,encryption_time_ms,verification_decryption_time_ms,security_status,reason
1,1,1->15->36->20->0,4,True,True,True,True,True,True,231,288,57,10.200400,0.287900,SECURE_DELIVERY,Packet authenticated and recovered.
2,2,2->31->48->20->0,4,True,True,True,True,True,True,247,304,57,0.141800,0.045600,SECURE_DELIVERY,Packet authenticated and recovered.
3,3,3->1->15->36->20->0,5,True,True,True,True,True,True,247,304,57,0.093700,0.032700,SECURE_DELIVERY,Packet authenticated and recovered.
4,4,4->41->12->15->36->20->0,6,True,True,True,True,True,True,246,304,58,0.109000,0.039300,SECURE_DELIVERY,Packet authenticated and recovered.
5,5,5->32->20->0,3,True,True,True,True,True,True,246,304,58,0.088400,0.029900,SECURE_DELIVERY,Packet authenticated and recovered.
6,6,6->23->16->26->32->20->0,6,True,True,True,True,True,True,246,304,58,0.058800,0.020600,SECURE_DELIVERY,Packet authenticated and recovered.
7,7,7->29->19->5->32->20->0,6,True,True,True,True,True,True,245,304,59,0.022000,0.016100,SECURE_DELIVERY,Packet authenticated and recovered.
8,8,8->7->29->19->5->32->20->0,7,True,True,True,True,True,True,246,304,58,0.019900,0.015300,SECURE_DELIVERY,Packet authenticated and recovered.
9,9,9->20->0,2,True,True,True,True,True,True,245,304,59,0.022800,0.015500,SECURE_DELIVERY,Packet authenticated and recovered.
10,10,10->42->2->31->48->20->0,6,True,True,True,True,True,True,250,304,54,0.039300,0.024700,SECURE_DELIVERY,Packet authenticated and recovered.
11,11,11->0,1,True,True,True,True,True,True,250,304,54,0.028900,0.023600,SECURE_DELIVERY,Packet authenticated and recovered.
12,12,12->15->36->20->0,4,True,True,True,True,True,True,235,288,53,0.065900,0.031600,SECURE_DELIVERY,Packet authenticated and recovered.
13,13,13->43->34->24->18->21->11->0,7,True,True,True,True,True,True,251,304,53,0.054800,0.026800,SECURE_DELIVERY,Packet authenticated and recovered.
14,14,14->26->32->20->0,4,True,True,True,True,True,True,234,288,54,0.092900,0.022800,SECURE_DELIVERY,Packet authenticated and recovered.
15,15,15->36->20->0,3,True,True,True,True,True,True,249,304,55,0.054000,0.025600,SECURE_DELIVERY,Packet authenticated and recovered.
16,16,16->26->32->20->0,4,True,True,True,True,True,True,235,288,53,0.046800,0.027700,SECURE_DELIVERY,Packet authenticated and recovered.
17,17,17->25->26->32->20->0,5,True,True,True,True,True,True,250,304,54,0.051900,0.025000,SECURE_DELIVERY,Packet authenticated and recovered.
18,18,18->21->11->0,3,True,True,True,True,True,True,251,304,53,0.035000,0.025100,SECURE_DELIVERY,Packet authenticated and recovered.
19,19,19->5->32->20->0,4,True,True,True,True,True,True,248,304,56,0.038300,0.020000,SECURE_DELIVERY,Packet authenticated and recovered.
20,20,20->0,1,True,True,True,True,True,True,250,304,54,0.036400,0.021200,SECURE_DELIVERY,Packet authenticated and recovered.
21,21,21->11->0,2,True,True,True,True,True,True,249,304,55,0.101600,0.030600,SECURE_DELIVERY,Packet authenticated and recovered.
22,22,22->49->48->20->0,4,True,True,True,True,True,True,247,304,57,0.104300,0.044500,SECURE_DELIVERY,Packet authenticated and recovered.
23,23,23->16->26->32->20->0,5,True,True,True,True,True,True,249,304,55,0.121200,0.032600,SECURE_DELIVERY,Packet authenticated and recovered.
24,24,24->18->21->11->0,4,True,True,True,True,True,True,250,304,54,0.073100,0.031100,SECURE_DELIVERY,Packet authenticated and recovered.
25,25,25->26->32->20->0,4,True,True,True,True,True,True,250,304,54,0.079000,0.032000,SECURE_DELIVERY,Packet authenticated and recovered.
26,26,26->32->20->0,3,True,True,True,True,True,True,250,304,54,0.056700,0.025400,SECURE_DELIVERY,Packet authenticated and recovered.
27,27,27->49->48->20->0,4,True,True,True,True,True,True,250,304,54,0.053800,0.026600,SECURE_DELIVERY,Packet authenticated and recovered.
28,28,28->6->23->16->26->32->20->0,7,True,True,True,True,True,True,250,304,54,0.034800,0.017600,SECURE_DELIVERY,Packet authenticated and recovered.
29,29,29->19->5->32->20->0,5,True,True,True,True,True,True,248,304,56,0.087200,0.032600,SECURE_DELIVERY,Packet authenticated and recovered.
30,30,30->39->33->8->7->29->19->5->32->20->0,10,True,True,True,True,True,True,234,288,54,0.113400,0.035900,SECURE_DELIVERY,Packet authenticated and recovered.
31,31,31->48->20->0,3,True,True,True,True,True,True,251,304,53,0.068100,0.028400,SECURE_DELIVERY,Packet authenticated and recovered.
32,32,32->20->0,2,True,True,True,True,True,True,250,304,54,0.050100,0.026100,SECURE_DELIVERY,Packet authenticated and recovered.
33,33,33->8->7->29->19->5->32->20->0,8,True,True,True,True,True,True,250,304,54,0.169000,0.028400,SECURE_DELIVERY,Packet authenticated and recovered.
34,34,34->24->18->21->11->0,5,True,True,True,True,True,True,250,304,54,0.032600,0.018100,SECURE_DELIVERY,Packet authenticated and recovered.
35,35,35->50->23->16->26->32->20->0,7,True,True,True,True,True,True,249,304,55,0.030000,0.016800,SECURE_DELIVERY,Packet authenticated and recovered.
36,36,36->20->0,2,True,True,True,True,True,True,250,304,54,0.025300,0.016200,SECURE_DELIVERY,Packet authenticated and recovered.
37,37,37->39->33->8->7->29->19->5->32->20->0,10,True,True,True,True,True,True,250,304,54,0.038700,0.017400,SECURE_DELIVERY,Packet authenticated and recovered.
38,38,38->16->26->32->20->0,5,True,True,True,True,True,True,249,304,55,0.027000,0.015900,SECURE_DELIVERY,Packet authenticated and recovered.
39,39,39->33->8->7->29->19->5->32->20->0,9,True,True,True,True,True,True,249,304,55,0.025800,0.014500,SECURE_DELIVERY,Packet authenticated and recovered.
40,40,40->30->39->33->8->7->29->19->5->32->20->0,11,True,True,True,True,True,True,250,304,54,0.050500,0.017500,SECURE_DELIVERY,Packet authenticated and recovered.
41,41,41->12->15->36->20->0,5,True,True,True,True,True,True,250,304,54,0.020700,0.015000,SECURE_DELIVERY,Packet authenticated and recovered.
42,42,42->2->31->48->20->0,5,True,True,True,True,True,True,249,304,55,0.019600,0.013900,SECURE_DELIVERY,Packet authenticated and recovered.
43,43,43->34->24->18->21->11->0,6,True,True,True,True,True,True,251,304,53,0.024400,0.014800,SECURE_DELIVERY,Packet authenticated and recovered.
44,44,44->3->1->15->36->20->0,6,True,True,True,True,True,True,250,304,54,0.093200,0.028400,SECURE_DELIVERY,Packet authenticated and recovered.
45,45,45->23->16->26->32->20->0,6,True,True,True,True,True,True,249,304,55,0.185000,0.044000,SECURE_DELIVERY,Packet authenticated and recovered.
46,46,46->3->1->15->36->20->0,6,True,True,True,True,True,True,249,304,55,0.094600,0.032500,SECURE_DELIVERY,Packet authenticated and recovered.
47,47,47->17->25->26->32->20->0,6,True,True,True,True,True,True,234,288,54,0.150200,0.027900,SECURE_DELIVERY,Packet authenticated and recovered.
48,48,48->20->0,2,True,True,True,True,True,True,250,304,54,0.043100,0.023100,SECURE_DELIVERY,Packet authenticated and recovered.
49,49,49->48->20->0,3,True,True,True,True,True,True,250,304,54,0.034700,0.016400,SECURE_DELIVERY,Packet authenticated and recovered.
50,50,50->23->16->26->32->20->0,6,True,True,True,True,True,True,248,304,56,0.048300,0.017600,SECURE_DELIVERY,Packet authenticated and recovered.
